SDp;ERp;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.008866847266820715;0.0;0.3618;0.3574;0.1253;0.1437;0.1566;0.0331;-0.0651;-0.0846;-0.0429;0.0147
0.00876601085420492;0.01;0.3576;0.3418;0.1208;0.1504;0.1544;0.0334;-0.0597;-0.083;-0.0318;0.0161
0.008672393349787727;0.02;0.3535;0.3262;0.1163;0.1571;0.1523;0.0336;-0.0543;-0.0815;-0.0208;0.0176
0.008586230884697777;0.03;0.3493;0.3106;0.1117;0.1639;0.1502;0.0339;-0.049;-0.0799;-0.0097;0.019
0.008507749965280198;0.04;0.3452;0.2949;0.1072;0.1706;0.148;0.0342;-0.0436;-0.0783;0.0013;0.0205
0.008437164951131634;0.05;0.341;0.2793;0.1027;0.1773;0.1459;0.0345;-0.0382;-0.0767;0.0124;0.022
0.00837467549389077;0.06;0.3369;0.2637;0.0982;0.184;0.1437;0.0348;-0.0329;-0.0752;0.0235;0.0234
0.00832046399654711;0.07;0.3327;0.248;0.0936;0.1907;0.1416;0.0351;-0.0275;-0.0736;0.0345;0.0249
0.00827469315939815;0.08;0.3285;0.2324;0.0891;0.1974;0.1394;0.0353;-0.0222;-0.072;0.0456;0.0264
0.00823750368261137;0.09;0.3244;0.2168;0.0846;0.2042;0.1373;0.0356;-0.0168;-0.0704;0.0566;0.0278
0.008209012196018037;0.1;0.3202;0.2011;0.08;0.2109;0.1351;0.0359;-0.0114;-0.0689;0.0677;0.0293
0.00818930948384548;0.11;0.3161;0.1855;0.0755;0.2176;0.133;0.0362;-0.0061;-0.0673;0.0787;0.0307
0.008178459065406013;0.12;0.3119;0.1699;0.071;0.2243;0.1308;0.0365;-0.0007;-0.0657;0.0898;0.0322
0.00817649618243253;0.13;0.3078;0.1543;0.0665;0.231;0.1287;0.0368;0.0047;-0.0641;0.1009;0.0337
0.008183427230240226;0.14;0.3036;0.1386;0.0619;0.2377;0.1265;0.037;0.01;-0.0626;0.1119;0.0351
0.008199229653963375;0.15;0.2995;0.123;0.0574;0.2445;0.1244;0.0373;0.0154;-0.061;0.123;0.0366
0.008223852313771152;0.16;0.2953;0.1074;0.0529;0.2512;0.1222;0.0376;0.0208;-0.0594;0.134;0.0381
0.008257216305359668;0.17;0.2911;0.0917;0.0484;0.2579;0.1201;0.0379;0.0261;-0.0578;0.1451;0.0395
0.00829921620532732;0.18;0.287;0.0761;0.0438;0.2646;0.1179;0.0382;0.0315;-0.0563;0.1562;0.041
0.008349721696351876;0.19;0.2828;0.0605;0.0393;0.2713;0.1158;0.0385;0.0368;-0.0547;0.1672;0.0424
0.008408579515279768;0.2;0.2787;0.0449;0.0348;0.2781;0.1136;0.0387;0.0422;-0.0531;0.1783;0.0439
0.008475615658908059;0.21;0.2745;0.0292;0.0302;0.2848;0.1115;0.039;0.0476;-0.0515;0.1893;0.0454
0.008550637777661036;0.22;0.2704;0.0136;0.0257;0.2915;0.1093;0.0393;0.0529;-0.05;0.2004;0.0468
0.008633437686489213;0.23;0.2662;-0.002;0.0212;0.2982;0.1072;0.0396;0.0583;-0.0484;0.2114;0.0483
0.008723793924819177;0.24;0.2621;-0.0177;0.0167;0.3049;0.105;0.0399;0.0637;-0.0468;0.2225;0.0497
0.008821474302712866;0.25;0.2579;-0.0333;0.0121;0.3116;0.1029;0.0402;0.069;-0.0452;0.2336;0.0512
0.008926238377873767;0.26;0.2537;-0.0489;0.0076;0.3184;0.1007;0.0404;0.0744;-0.0437;0.2446;0.0527
0.009037839817031568;0.27;0.2496;-0.0646;0.0031;0.3251;0.0986;0.0407;0.0798;-0.0421;0.2557;0.0541
0.009156028604832313;0.28;0.2454;-0.0802;-0.0014;0.3318;0.0964;0.041;0.0851;-0.0405;0.2667;0.0556
0.009280553073022396;0.29;0.2413;-0.0958;-0.006;0.3385;0.0943;0.0413;0.0905;-0.0389;0.2778;0.0571
0.009411161731919977;0.3;0.2371;-0.1114;-0.0105;0.3452;0.0921;0.0416;0.0958;-0.0374;0.2888;0.0585
0.009547604894528066;0.31;0.233;-0.1271;-0.015;0.3519;0.09;0.0419;0.1012;-0.0358;0.2999;0.06
0.009689636090905018;0.32;0.2288;-0.1427;-0.0195;0.3587;0.0878;0.0421;0.1066;-0.0342;0.311;0.0614
0.009837013276437804;0.33;0.2247;-0.1583;-0.0241;0.3654;0.0857;0.0424;0.1119;-0.0326;0.322;0.0629
0.009989499842432034;0.34;0.2205;-0.174;-0.0286;0.3721;0.0836;0.0427;0.1173;-0.0311;0.3331;0.0644
0.010146865440990993;0.35;0.2163;-0.1896;-0.0331;0.3788;0.0814;0.043;0.1227;-0.0295;0.3441;0.0658
0.01030888663860927;0.36;0.2122;-0.2052;-0.0377;0.3855;0.0793;0.0433;0.128;-0.0279;0.3552;0.0673
0.010475347414396702;0.37;0.208;-0.2208;-0.0422;0.3923;0.0771;0.0436;0.1334;-0.0263;0.3663;0.0688
0.010646039519530737;0.38;0.2039;-0.2365;-0.0467;0.399;0.075;0.0438;0.1388;-0.0248;0.3773;0.0702
0.010820762714568902;0.39;0.1997;-0.2521;-0.0512;0.4057;0.0728;0.0441;0.1441;-0.0232;0.3884;0.0717
0.010999324900787791;0.4;0.1956;-0.2677;-0.0558;0.4124;0.0707;0.0444;0.1495;-0.0216;0.3994;0.0731
0.011181542160885852;0.41;0.1914;-0.2834;-0.0603;0.4191;0.0685;0.0447;0.1548;-0.02;0.4105;0.0746
0.011367238723310821;0.42;0.1873;-0.299;-0.0648;0.4258;0.0664;0.045;0.1602;-0.0184;0.4215;0.0761
0.011556246863246635;0.43;0.1831;-0.3146;-0.0693;0.4326;0.0642;0.0453;0.1656;-0.0169;0.4326;0.0775
0.011748406751996206;0.44;0.1789;-0.3303;-0.0739;0.4393;0.0621;0.0455;0.1709;-0.0153;0.4437;0.079
0.01194356626518621;0.45;0.1748;-0.3459;-0.0784;0.446;0.0599;0.0458;0.1763;-0.0137;0.4547;0.0805
0.012141580758942788;0.46;0.1706;-0.3615;-0.0829;0.4527;0.0578;0.0461;0.1817;-0.0121;0.4658;0.0819
0.012342312821973725;0.47;0.1665;-0.3771;-0.0874;0.4594;0.0556;0.0464;0.187;-0.0106;0.4768;0.0834
0.012545632010364238;0.48;0.1623;-0.3928;-0.092;0.4661;0.0535;0.0467;0.1924;-0.009;0.4879;0.0848
0.01275141457086179;0.49;0.1582;-0.4084;-0.0965;0.4729;0.0513;0.047;0.1978;-0.0074;0.4989;0.0863
0.012959543157495503;0.5;0.154;-0.424;-0.101;0.4796;0.0492;0.0472;0.2031;-0.0058;0.51;0.0878
0.013169906545548542;0.51;0.1499;-0.4397;-0.1056;0.4863;0.047;0.0475;0.2085;-0.0043;0.5211;0.0892
0.013382399346173603;0.52;0.1457;-0.4553;-0.1101;0.493;0.0449;0.0478;0.2139;-0.0027;0.5321;0.0907
0.013596921724307483;0.53;0.1416;-0.4709;-0.1146;0.4997;0.0427;0.0481;0.2192;-0.0011;0.5432;0.0921
0.013813379121993047;0.54;0.1374;-0.4865;-0.1191;0.5064;0.0406;0.0484;0.2246;0.0005;0.5542;0.0936
0.014031681988748662;0.55;0.1332;-0.5022;-0.1237;0.5132;0.0384;0.0487;0.2299;0.002;0.5653;0.0951
0.014251745520227538;0.56;0.1291;-0.5178;-0.1282;0.5199;0.0363;0.0489;0.2353;0.0036;0.5764;0.0965
0.014473489406075133;0.57;0.1249;-0.5334;-0.1327;0.5266;0.0341;0.0492;0.2407;0.0052;0.5874;0.098
0.014696837587614017;0.58;0.1208;-0.5491;-0.1372;0.5333;0.032;0.0495;0.246;0.0068;0.5985;0.0995
0.014921718025754644;0.59;0.1166;-0.5647;-0.1418;0.54;0.0298;0.0498;0.2514;0.0083;0.6095;0.1009
0.015148062479342021;0.6;0.1125;-0.5803;-0.1463;0.5468;0.0277;0.0501;0.2568;0.0099;0.6206;0.1024
0.015375806293995107;0.61;0.1083;-0.596;-0.1508;0.5535;0.0255;0.0504;0.2621;0.0115;0.6316;0.1038
0.015604888201373355;0.62;0.1042;-0.6116;-0.1554;0.5602;0.0234;0.0506;0.2675;0.0131;0.6427;0.1053
0.015835250128708248;0.63;0.1;-0.6272;-0.1599;0.5669;0.0212;0.0509;0.2729;0.0146;0.6538;0.1068
0.016066837018362996;0.64;0.0958;-0.6428;-0.1644;0.5736;0.0191;0.0512;0.2782;0.0162;0.6648;0.1082
0.016299596657126703;0.65;0.0917;-0.6585;-0.1689;0.5803;0.0169;0.0515;0.2836;0.0178;0.6759;0.1097
0.016533479514908057;0.66;0.0875;-0.6741;-0.1735;0.5871;0.0148;0.0518;0.2889;0.0194;0.6869;0.1112
0.01676843859246424;0.67;0.0834;-0.6897;-0.178;0.5938;0.0127;0.0521;0.2943;0.0209;0.698;0.1126
0.017004429277782174;0.68;0.0792;-0.7054;-0.1825;0.6005;0.0105;0.0523;0.2997;0.0225;0.709;0.1141
0.017241409210718206;0.69;0.0751;-0.721;-0.187;0.6072;0.0084;0.0526;0.305;0.0241;0.7201;0.1155
0.01747933815549871;0.7;0.0709;-0.7366;-0.1916;0.6139;0.0062;0.0529;0.3104;0.0257;0.7312;0.117
0.017718177880685124;0.71;0.0668;-0.7523;-0.1961;0.6206;0.0041;0.0532;0.3158;0.0272;0.7422;0.1185
0.017957892046212374;0.72;0.0626;-0.7679;-0.2006;0.6274;0.0019;0.0535;0.3211;0.0288;0.7533;0.1199
0.018198446097118487;0.73;0.0584;-0.7835;-0.2051;0.6341;-0.0002;0.0538;0.3265;0.0304;0.7643;0.1214
0.018439807163593887;0.74;0.0543;-0.7991;-0.2097;0.6408;-0.0024;0.054;0.3319;0.032;0.7754;0.1229
0.018681943966991802;0.75;0.0501;-0.8148;-0.2142;0.6475;-0.0045;0.0543;0.3372;0.0335;0.7865;0.1243
0.01892482673145532;0.76;0.046;-0.8304;-0.2187;0.6542;-0.0067;0.0546;0.3426;0.0351;0.7975;0.1258
0.019168427100831255;0.77;0.0418;-0.846;-0.2233;0.661;-0.0088;0.0549;0.3479;0.0367;0.8086;0.1272
0.019412718060556326;0.78;0.0377;-0.8617;-0.2278;0.6677;-0.011;0.0552;0.3533;0.0383;0.8196;0.1287
0.01965767386421672;0.79;0.0335;-0.8773;-0.2323;0.6744;-0.0131;0.0555;0.3587;0.0398;0.8307;0.1302
0.019903269964497292;0.8;0.0294;-0.8929;-0.2368;0.6811;-0.0153;0.0557;0.364;0.0414;0.8417;0.1316
